TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Month,DayOfWeek,AgeGroup,Gender_Encoded
T00001,C2824,Female,-0.7695704026774156,Bengaluru,Fashion,3,1.4023714847824078,2023-03-15,Cash,1.0746797200566114,3,2,26-40,0
T00002,C1409,Other,-1.626186143306442,Pune,Books,5,-1.0226455148161042,2023-01-22,Card,-0.3598429682235658,1,6,18-25,2
T00003,C5506,Other,0.15293885646153607,Pune,Furniture,1,-1.687615170481974,2023-04-18,Wallet,-1.2617232797015945,4,1,41-60,2
T00004,C5012,Other,-1.560292624796517,Hyderabad,Groceries,5,0.3179050144251969,2023-08-09,Cash,1.301377084508612,8,2,18-25,2
T00005,C4657,Female,-0.24242225459801464,Chennai,Sports,1,0.44311738575802556,2023-09-23,Wallet,-0.733639395920136,9,5,41-60,0
T00006,C3286,Male,1.207235152620338,Delhi,Furniture,2,0.18491108329202297,2023-05-23,Card,-0.3140827113620251,5,1,60+,1
T00007,C2679,Other,-0.9672509582071909,Pune,Electronics,5,-1.2136474371882158,2023-10-22,Card,-0.5965339519901558,10,6,26-40,2
T00008,C9935,Female,-0.6377833656575653,Hyderabad,Books,5,1.487261228058902,2023-11-12,Cash,2.7504518851240682,11,6,26-40,0
T00009,C2424,Female,-0.24242225459801464,Jaipur,Books,5,-0.1652591077235148,2023-06-10,Cash,0.7026365589064603,6,5,41-60,0
T00010,C7912,Male,1.6684897821898137,Lucknow,Groceries,1,-0.9214852374116156,2023-02-20,UPI,-1.0718445127243967,2,0,60+,1
T00011,C1520,Male,0.15293885646153607,Chennai,Books,5,0.6709048635499512,2023-06-27,Card,1.7388170878401987,6,1,41-60,1
T00012,C1488,Female,0.3506194119913114,Chennai,Sports,5,0.013009353157122617,2023-05-26,Cash,0.9235481437552776,5,4,41-60,0
T00013,C2535,Male,-0.1106352175781644,Jaipur,Groceries,2,0.1856184978193271,2023-03-26,Wallet,-0.31373205805274124,3,6,41-60,1
T00014,C4582,Other,0.8777675600707123,Chennai,Furniture,4,-1.3636193169766886,2023-03-02,Cash,-0.8821410724018409,3,3,41-60,2
T00015,C4811,Female,-1.2967185507568164,Pune,Sports,5,-1.6352664954614693,2023-05-28,Cash,-1.1190073828230729,5,6,18-25,0
T00016,C9279,Other,1.0754481156004876,Hyderabad,Beauty,1,0.3645943732272686,2023-05-21,Wallet,-0.753100654585389,5,6,60+,2
